,name,last name,first name,age,position,team,faStatus,total-contract,average,max-contract
167,brynforbes,Forbes,Bryn,28.9>,SG,DEN,UFA,2298385,2298385,"$2,298,385"
168,frankjackson,Jackson,Frank,24.3>,PG,DET,UFA,2133278,2133278,"$2,133,278"
169,frankjackson,Jackson,Frank,24.3>,PG,DET,UFA,2133278,2133278,"$2,133,278"
170,ryanarcidiacono,Arcidiacono,Ryan,28.4>,PG,NYK,UFA,2133278,2133278,"$2,133,278"
171,ryanarcidiacono,Arcidiacono,Ryan,28.4>,PG,NYK,UFA,2133278,2133278,"$2,133,278"
172,joshjackson,Jackson,Josh,25.5>,SG,SAC,UFA,2133278,2133278,"$2,133,278"
173,joshjackson,Jackson,Josh,25.5>,SG,SAC,UFA,2133278,2133278,"$2,133,278"
174,thomasbryant,Bryant,Thomas,24.9>,C,WAS,UFA,2133278,2133278,"$2,133,278"
175,thomasbryant,Bryant,Thomas,24.9>,C,WAS,UFA,2133278,2133278,"$2,133,278"
176,damionlee,Lee,Damion,29.7>,SG,GSW,UFA,2133278,2133278,"$2,133,278"
177,damionlee,Lee,Damion,29.7>,SG,GSW,UFA,2133278,2133278,"$2,133,278"
178,troybrown,BrownJr.,Troy,22.9>,SF,CHI,UFA,1968185,1968185,"$1,968,185"
179,troybrown,BrownJr.,Troy,22.9>,SF,CHI,UFA,1968185,1968185,"$1,968,185"
180,chrischiozza,Chiozza,Chris,26.8>,PG,GSW,UFA,1968175,1968175,"$1,968,175"
181,chrischiozza,Chiozza,Chris,26.8>,PG,GSW,UFA,1968175,1968175,"$1,968,175"
182,yutawatanabe,Watanabe,Yuta,27.8>,SF,TOR,UFA,1968175,1968175,"$1,968,175"
183,yutawatanabe,Watanabe,Yuta,27.8>,SF,TOR,UFA,1968175,1968175,"$1,968,175"
184,dreweubanks,Eubanks,Drew,25.4>,PF,POR,UFA,1968175,1968175,"$1,968,175"
185,dreweubanks,Eubanks,Drew,25.4>,PF,POR,UFA,1968175,1968175,"$1,968,175"
186,aaronholiday,Holiday,Aaron,25.8>,PG,PHX,UFA,1968175,1968175,"$1,968,175"
187,aaronholiday,Holiday,Aaron,25.8>,PG,PHX,UFA,1968175,1968175,"$1,968,175"
188,theopinson,Pinson,Theo,26.7>,SG,DAL,RFA,1968175,1968175,"$1,968,175"
189,theopinson,Pinson,Theo,26.7>,SG,DAL,RFA,1968175,1968175,"$1,968,175"
190,joshokogie,Okogie,Josh,23.8>,SF,MIN,UFA,1968175,1968175,"$1,968,175"
191,joshokogie,Okogie,Josh,23.8>,SF,MIN,UFA,1968175,1968175,"$1,968,175"
192,tylercook,Cook,Tyler,25.0>,PF,CHI,UFA,1902133,1902133,"$1,902,133"
193,tylercook,Cook,Tyler,25.0>,PF,CHI,UFA,1902133,1902133,"$1,902,133"
194,mychalmulder,Mulder,Mychal,28.2>,G,MIA,UFA,1902133,1902133,"$1,902,133"
195,mychalmulder,Mulder,Mychal,28.2>,G,MIA,UFA,1902133,1902133,"$1,902,133"
196,devontaecacok,Cacok,Devontae,25.8>,C,SAS,UFA,1902133,1902133,"$1,902,133"
197,devontaecacok,Cacok,Devontae,25.8>,C,SAS,UFA,1902133,1902133,"$1,902,133"
198,mosesbrown,Brown,Moses,22.7>,C,CLE,UFA,1902133,1902133,"$1,902,133"
199,mosesbrown,Brown,Moses,22.7>,C,CLE,UFA,1902133,1902133,"$1,902,133"
200,rayjontucker,Tucker,Rayjon,24.8>,SF,MIL,UFA,1902133,1902133,"$1,902,133"
201,rayjontucker,Tucker,Rayjon,24.8>,SF,MIL,UFA,1902133,1902133,"$1,902,133"
202,juantoscanoanderson,Toscano-Anderson,Juan,29.2>,SF,GSW,UFA,1902133,1902133,"$1,902,133"
203,juantoscanoanderson,Toscano-Anderson,Juan,29.2>,SF,GSW,UFA,1902133,1902133,"$1,902,133"
